;;preco;qtidade
ACRE;December 2010;5,0;17,4
ACRE;October 2013;5,0;17,4
ACRE;February 2015;8,0;16,9
ACRE;July 2015;6,0;17,1
ACRE;September 2018;8,0;16,9
ALAGOAS;November 2010;7,0;17,1
ALAGOAS;August 2014;10,0;16,3
ALAGOAS;September 2014;10,0;16,6
ALAGOAS;November 2014;7,0;17,1
ALAGOAS;January 2015;6,0;17,3
ALAGOAS;March 2015;10,0;16,5
ALAGOAS;May 2015;5,0;17,4
ALAGOAS;August 2015;7,0;17,1
ALAGOAS;September 2015;8,0;16,6
ALAGOAS;October 2015;9,0;16,5
ALAGOAS;November 2015;7,0;17,0
ALAGOAS;May 2016;9,0;16,6
ALAGOAS;December 2017;9,0;16,5
ALAGOAS;May 2018;10,0;16,6
AMAZONAS;July 2010;9,0;16,6
AMAZONAS;January 2015;10,0;16,4
AMAZONAS;April 2015;5,0;17,4
AMAZONAS;August 2015;5,0;17,4
AMAZONAS;July 2016;7,0;16,9
AMAZONAS;March 2018;9,0;16,6
BAHIA;August 2010;5,0;17,3
BAHIA;December 2010;10,0;16,4
BAHIA;January 2011;9,0;16,7
BAHIA;March 2012;7,0;17,0
BAHIA;July 2013;6,0;17,2
BAHIA;September 2013;9,0;16,6
BAHIA;October 2013;5,0;17,3
BAHIA;November 2013;10,0;16,4
BAHIA;December 2013;7,0;16,9
BAHIA;January 2014;7,0;16,8
BAHIA;February 2014;8,0;16,8
BAHIA;March 2014;10,0;16,4
BAHIA;April 2014;10,0;16,5
BAHIA;May 2014;8,0;16,9
BAHIA;June 2014;7,0;17,1
BAHIA;July 2014;10,0;16,5
BAHIA;August 2014;5,0;17,3
BAHIA;September 2014;6,0;17,2
BAHIA;October 2014;8,0;16,9
BAHIA;November 2014;9,0;16,7
BAHIA;December 2014;9,0;16,6
BAHIA;January 2015;7,0;17,0
BAHIA;February 2015;5,0;17,4
BAHIA;March 2015;10,0;16,5
BAHIA;April 2015;9,0;16,5
BAHIA;May 2015;6,0;17,2
BAHIA;August 2015;10,0;16,3
BAHIA;September 2015;8,0;16,8
BAHIA;October 2015;9,0;16,6
BAHIA;November 2015;5,0;17,5
BAHIA;December 2015;6,0;17,3
BAHIA;January 2016;5,0;17,6
BAHIA;February 2016;5,0;17,6
BAHIA;April 2016;5,0;17,4
BAHIA;May 2016;8,0;16,6
BAHIA;June 2016;5,0;17,6
BAHIA;July 2016;8,0;16,7
BAHIA;September 2016;10,0;16,5
BAHIA;October 2016;5,0;17,5
BAHIA;November 2016;6,0;17,1
BAHIA;December 2016;7,0;16,8
BAHIA;January 2017;10,0;16,5
BAHIA;February 2017;8,0;16,9
BAHIA;May 2017;8,0;16,6
BAHIA;June 2017;8,0;16,9
BAHIA;September 2017;7,0;16,9
BAHIA;October 2017;10,0;16,4
BAHIA;November 2017;7,0;17,1
BAHIA;December 2017;6,0;17,3
BAHIA;January 2018;6,0;17,3
BAHIA;February 2018;9,0;16,4
BAHIA;March 2018;8,0;16,7
BAHIA;April 2018;10,0;16,5
BAHIA;May 2018;7,0;16,9
BAHIA;July 2018;7,0;17,0
BAHIA;August 2018;10,0;16,4
BAHIA;September 2018;8,0;16,7
BAHIA;November 2018;7,0;16,9
BAHIA;September 2019;9,0;16,6
CEARÁ;December 2009;5,0;17,6
CEARÁ;June 2010;7,0;17,0
CEARÁ;October 2010;6,0;17,1
CEARÁ;January 2011;9,0;16,7
CEARÁ;March 2011;10,0;16,4
CEARÁ;February 2014;9,0;16,5
CEARÁ;August 2014;6,0;17,2
CEARÁ;September 2014;10,0;16,5
CEARÁ;November 2014;10,0;16,5
CEARÁ;December 2014;8,0;16,6
CEARÁ;January 2015;9,0;16,6
CEARÁ;March 2015;9,0;16,5
CEARÁ;April 2015;6,0;17,3
CEARÁ;May 2015;10,0;16,3
CEARÁ;June 2015;10,0;16,3
CEARÁ;October 2015;6,0;17,1
CEARÁ;November 2015;7,0;17,0
CEARÁ;December 2015;6,0;17,2
CEARÁ;January 2016;8,0;16,6
CEARÁ;December 2016;5,0;17,6
CEARÁ;January 2017;5,0;17,6
CEARÁ;June 2017;8,0;16,9
CEARÁ;July 2017;10,0;16,5
CEARÁ;August 2017;8,0;16,7
CEARÁ;September 2017;10,0;16,6
CEARÁ;October 2017;5,0;17,6
CEARÁ;November 2017;10,0;16,5
CEARÁ;January 2018;5,0;17,4
CEARÁ;February 2018;6,0;17,1
CEARÁ;November 2018;6,0;17,2
CEARÁ;March 2019;5,0;17,5
DIST FEDERAL;January 2010;8,0;16,6
DIST FEDERAL;February 2010;6,0;17,3
DIST FEDERAL;March 2010;9,0;16,7
DIST FEDERAL;May 2010;5,0;17,5
DIST FEDERAL;June 2010;8,0;16,7
DIST FEDERAL;October 2010;7,0;17,1
DIST FEDERAL;November 2010;5,0;17,4
DIST FEDERAL;January 2011;5,0;17,3
DIST FEDERAL;August 2011;7,0;17,1
DIST FEDERAL;November 2011;9,0;16,5
DIST FEDERAL;December 2011;6,0;17,3
DIST FEDERAL;June 2013;6,0;17,1
DIST FEDERAL;July 2013;6,0;17,3
DIST FEDERAL;January 2014;10,0;16,3
DIST FEDERAL;February 2014;6,0;17,3
DIST FEDERAL;March 2014;8,0;16,7
DIST FEDERAL;April 2014;7,0;16,9
DIST FEDERAL;May 2014;8,0;16,6
DIST FEDERAL;June 2014;5,0;17,4
DIST FEDERAL;July 2014;8,0;16,8
DIST FEDERAL;August 2014;10,0;16,6
DIST FEDERAL;September 2014;6,0;17,3
DIST FEDERAL;October 2014;9,0;16,7
DIST FEDERAL;November 2014;6,0;17,1
DIST FEDERAL;December 2014;8,0;16,7
DIST FEDERAL;January 2015;8,0;16,8
DIST FEDERAL;February 2015;5,0;17,4
DIST FEDERAL;March 2015;7,0;17,0
DIST FEDERAL;April 2015;9,0;16,6
DIST FEDERAL;May 2015;8,0;16,6
DIST FEDERAL;June 2015;6,0;17,3
DIST FEDERAL;July 2015;5,0;17,6
DIST FEDERAL;August 2015;8,0;16,9
DIST FEDERAL;September 2015;10,0;16,4
DIST FEDERAL;November 2015;7,0;16,8
DIST FEDERAL;December 2015;7,0;16,8
DIST FEDERAL;January 2016;5,0;17,6
DIST FEDERAL;February 2016;10,0;16,5
DIST FEDERAL;March 2016;9,0;16,7
DIST FEDERAL;April 2016;5,0;17,4
DIST FEDERAL;May 2016;9,0;16,7
DIST FEDERAL;June 2016;6,0;17,3
DIST FEDERAL;July 2016;8,0;16,9
DIST FEDERAL;August 2016;8,0;16,9
DIST FEDERAL;September 2016;9,0;16,4
DIST FEDERAL;October 2016;10,0;16,4
DIST FEDERAL;November 2016;5,0;17,4
DIST FEDERAL;December 2016;5,0;17,6
DIST FEDERAL;January 2017;9,0;16,6
DIST FEDERAL;February 2017;5,0;17,4
DIST FEDERAL;March 2017;8,0;16,8
DIST FEDERAL;April 2017;7,0;16,9
DIST FEDERAL;May 2017;9,0;16,6
DIST FEDERAL;June 2017;7,0;16,9
DIST FEDERAL;July 2017;5,0;17,4
DIST FEDERAL;August 2017;9,0;16,6
DIST FEDERAL;September 2017;10,0;16,3
DIST FEDERAL;October 2017;5,0;17,6
DIST FEDERAL;November 2017;10,0;16,4
DIST FEDERAL;December 2017;10,0;16,5
DIST FEDERAL;January 2018;7,0;17,0
DIST FEDERAL;March 2018;8,0;16,6
DIST FEDERAL;April 2018;10,0;16,5
DIST FEDERAL;May 2018;5,0;17,5
DIST FEDERAL;June 2018;10,0;16,5
DIST FEDERAL;July 2018;7,0;17,0
DIST FEDERAL;August 2018;9,0;16,7
DIST FEDERAL;September 2018;9,0;16,7
DIST FEDERAL;October 2018;5,0;17,3
DIST FEDERAL;November 2018;8,0;16,6
DIST FEDERAL;December 2018;7,0;16,9
DIST FEDERAL;August 2019;6,0;17,3
DIST FEDERAL;November 2019;8,0;16,9
ESPÍRITO SANTO;January 2010;8,0;16,8
ESPÍRITO SANTO;October 2010;9,0;16,6
ESPÍRITO SANTO;November 2010;9,0;16,4
ESPÍRITO SANTO;December 2010;5,0;17,4
ESPÍRITO SANTO;February 2014;8,0;16,9
ESPÍRITO SANTO;September 2014;9,0;16,7
ESPÍRITO SANTO;October 2014;7,0;17,1
ESPÍRITO SANTO;November 2014;9,0;16,5
ESPÍRITO SANTO;December 2014;9,0;16,5
ESPÍRITO SANTO;January 2015;6,0;17,2
ESPÍRITO SANTO;February 2015;6,0;17,3
ESPÍRITO SANTO;March 2015;6,0;17,1
ESPÍRITO SANTO;April 2015;6,0;17,1
ESPÍRITO SANTO;May 2015;6,0;17,4
ESPÍRITO SANTO;June 2015;8,0;16,9
ESPÍRITO SANTO;July 2015;7,0;17,1
ESPÍRITO SANTO;August 2015;10,0;16,6
ESPÍRITO SANTO;September 2015;6,0;17,3
ESPÍRITO SANTO;December 2015;10,0;16,4
ESPÍRITO SANTO;January 2016;8,0;16,7
ESPÍRITO SANTO;February 2016;10,0;16,6
ESPÍRITO SANTO;June 2016;7,0;17,0
ESPÍRITO SANTO;September 2016;7,0;16,9
ESPÍRITO SANTO;November 2016;8,0;16,8
ESPÍRITO SANTO;March 2017;8,0;16,7
ESPÍRITO SANTO;April 2017;8,0;16,7
ESPÍRITO SANTO;May 2017;7,0;17,0
ESPÍRITO SANTO;August 2017;8,0;16,8
ESPÍRITO SANTO;September 2017;8,0;16,7
ESPÍRITO SANTO;October 2017;8,0;16,7
ESPÍRITO SANTO;January 2018;5,0;17,5
ESPÍRITO SANTO;February 2018;10,0;16,5
ESPÍRITO SANTO;May 2018;10,0;16,3
ESPÍRITO SANTO;June 2018;5,0;17,5
ESPÍRITO SANTO;July 2018;6,0;17,2
ESTADO SÃO PAUL;December 2009;9,0;16,4
ESTADO SÃO PAUL;January 2010;9,0;16,7
ESTADO SÃO PAUL;February 2010;5,0;17,6
ESTADO SÃO PAUL;March 2010;5,0;17,5
ESTADO SÃO PAUL;April 2010;5,0;17,4
ESTADO SÃO PAUL;May 2010;8,0;16,8
ESTADO SÃO PAUL;July 2010;8,0;16,9
ESTADO SÃO PAUL;August 2010;6,0;17,1
ESTADO SÃO PAUL;October 2010;6,0;17,3
ESTADO SÃO PAUL;November 2010;6,0;17,3
ESTADO SÃO PAUL;December 2010;9,0;16,4
ESTADO SÃO PAUL;January 2011;9,0;16,6
ESTADO SÃO PAUL;February 2011;8,0;16,7
ESTADO SÃO PAUL;March 2011;5,0;17,4
ESTADO SÃO PAUL;April 2011;6,0;17,2
ESTADO SÃO PAUL;May 2011;10,0;16,3
ESTADO SÃO PAUL;June 2011;10,0;16,4
ESTADO SÃO PAUL;July 2011;6,0;17,2
ESTADO SÃO PAUL;February 2013;10,0;16,4
ESTADO SÃO PAUL;March 2013;6,0;17,1
ESTADO SÃO PAUL;May 2013;7,0;17,0
ESTADO SÃO PAUL;June 2013;10,0;16,6
ESTADO SÃO PAUL;July 2013;8,0;16,6
ESTADO SÃO PAUL;September 2013;8,0;16,7
ESTADO SÃO PAUL;October 2013;10,0;16,3
ESTADO SÃO PAUL;November 2013;5,0;17,5
ESTADO SÃO PAUL;December 2013;10,0;16,4
ESTADO SÃO PAUL;January 2014;6,0;17,1
ESTADO SÃO PAUL;February 2014;5,0;17,6
ESTADO SÃO PAUL;March 2014;9,0;16,6
ESTADO SÃO PAUL;April 2014;7,0;17,0
ESTADO SÃO PAUL;May 2014;6,0;17,1
ESTADO SÃO PAUL;June 2014;8,0;16,8
ESTADO SÃO PAUL;July 2014;6,0;17,3
ESTADO SÃO PAUL;August 2014;8,0;16,7
ESTADO SÃO PAUL;September 2014;6,0;17,2
ESTADO SÃO PAUL;October 2014;7,0;17,0
ESTADO SÃO PAUL;November 2014;9,0;16,6
ESTADO SÃO PAUL;December 2014;10,0;16,4
ESTADO SÃO PAUL;January 2015;8,0;16,7
ESTADO SÃO PAUL;February 2015;6,0;17,2
ESTADO SÃO PAUL;March 2015;6,0;17,4
ESTADO SÃO PAUL;April 2015;9,0;16,8
ESTADO SÃO PAUL;May 2015;7,0;17,0
ESTADO SÃO PAUL;June 2015;9,0;16,8
ESTADO SÃO PAUL;July 2015;9,0;16,7
ESTADO SÃO PAUL;August 2015;8,0;16,7
ESTADO SÃO PAUL;September 2015;5,0;17,6
ESTADO SÃO PAUL;October 2015;7,0;16,8
ESTADO SÃO PAUL;November 2015;10,0;16,3
ESTADO SÃO PAUL;December 2015;8,0;16,9
ESTADO SÃO PAUL;January 2016;5,0;17,5
ESTADO SÃO PAUL;February 2016;8,0;16,7
